,stop_name,Ward_name
263,JANE ST AT LAMBTON AVE,York South-Weston
264,JANE ST AT PRITCHARD AVE,York South-Weston
265,JANE ST AT WRIGHT AVE,York South-Weston
266,JANE ST AT STEELES AVE WEST,Humber River-Black Creek
267,JOHN GARLAND BLVD AT FINCH AVE WEST SOUTH SIDE,Etobicoke North
268,JOHN GARLAND BLVD AT FINCH AVE WEST,Etobicoke North
269,KEELE ST AT FINCH AVE WEST NORTH SIDE (FINCH WEST STATION),York Centre
270,KEELE ST AT FINCH AVE WEST,Humber River-Black Creek
271,ST CLAIR AVE WEST AT KEELE ST/ WESTON RD,York South-Weston
272,CRESCENT RD AT SOUTH DR (WEST),University-Rosedale
273,GERRARD ST EAST AT BLACKBURN ST,Toronto-Danforth
274,LANSDOWNE AVE AT SEAFORTH AVE,Parkdale-High Park
275,SCARLETT RD AT FOXWELL ST,York South-Weston
276,EGLINTON AVE WEST AT MARTIN GROVE RD,Etobicoke Centre
277,RANEE AVE AT YORKDALE STATION,Eglinton-Lawrence
278,DIXON RD AT 950 DIXON RD,Etobicoke North
279,MCCOWAN RD AT KENHATCH BLVD,Scarborough North
280,BLOOR ST WEST AT MARKLAND DR (EAST) EAST SIDE,Etobicoke Centre
281,ST CLAIR AVE WEST AT OLD WESTON RD,Davenport
282,BELFIELD RD AT KIPLING AVE,Etobicoke North
283,LLOYD MANOR RD AT FIRWOOD CRES NORTH SIDE,Etobicoke Centre
284,MCCOWAN RD LOOP AT STEELES AVE EAST,outside_wards
285,MAYBROOK DR AT NEWMILL GATE,Scarborough North
286,QUEEN ST WEST AT SOHO ST,Spadina-Fort York
287,STEELES AVE EAST AT DON MILLS RD,outside_wards
288,BATHURST ST AT ST CLAIR AVE WEST NORTH SIDE,Toronto-St. Paul's
289,THE BRIDLE PATH AT LAWRENCE AVE EAST SOUTH SIDE,Don Valley West
290,MIDLAND AVE AT STEELES AVE EAST SOUTH SIDE,Scarborough-Agincourt
291,KINGSTON RD AT MCNAB BLVD EAST SIDE,Scarborough Southwest
292,KIPLING AVE AT JUTLAND RD,Etobicoke-Lakeshore
293,OAKDALE RD AT SHEPPARD AVE WEST NORTH SIDE,Humber River-Black Creek
294,PARKSIDE DR AT HIGH PARK BLVD,Parkdale-High Park
295,GUILDWOOD PKWY AT NAVARRE CRES,Scarborough-Guildwood
296,MIDLAND AVE AT BOARHILL DR,Scarborough North
297,EGLINTON AVE EAST AT WYNFORD DR WEST SIDE,Don Valley East
298,CHAPLIN CRES AT AVENUE RD,Toronto-St. Paul's
299,ELLESMERE RD AT HELICON GATE WEST SIDE,Scarborough-Guildwood
300,GLENCAIRN AVE AT DANESBURY AVE,Eglinton-Lawrence
301,THE ESPLANADE AT PRINCESS ST,Toronto Centre
302,DAVISVILLE AVE AT PAILTON CRES,Toronto-St. Paul's
303,JANE ST AT DUNDAS ST WEST,Parkdale-High Park
304,EGLINTON AVE EAST AT LEBOVIC AVE EAST SIDE,Scarborough Southwest
305,1100 BELLAMY RD NORTH,Scarborough-Guildwood
306,WELLESLEY ST EAST AT ONTARIO ST,Toronto Centre
307,DAVISVILLE AVE AT BELLE AYRE BLVD,Don Valley West
308,DANFORTH AVE AT WOODBINE AVE,Beaches-East York
309,RAILSIDE RD AT CODECO CRT EAST SIDE,Don Valley East
310,HENRIETTA ST AT RUNNYMEDE RD,York South-Weston
311,WATERBURY DR AT MARTIN GROVE RD,Etobicoke North
312,ST CLAIR AVE EAST AT DENVALE RD,Beaches-East York
313,BIRCHMOUNT RD AT ASHTONBEE RD,Scarborough Centre
314,MCCOWAN RD AT SANDHURST CIR (NORTH),Scarborough North
315,CLONMORE DR AT CORNELL AVE,Scarborough Southwest
316,QUEEN ST EAST AT JONES AVE,Toronto-Danforth
317,LESLIE ST AT COMMISSIONERS ST,Toronto-Danforth
318,16 THE DONWAY EAST - OPPOSITE DON MILLS COLLEGIATE,Don Valley East
