56,DONLANDS STATION,12
34,EGLINTON AND WARDEN,12
29,DUFFERIN AND DAVENPORT,12
52,WESTWOOD MALL,12
29,DUFFERIN AND QUEEN,12
36,FINCH AND ALBION,12
161,ALLIANCE AND JANE,12
38,ROUGE HILL GO STATION,12
29,PRINCES' GATE,12
106,PIONEER VILLAGE STATION,12
24,VICTORIA PARK AND SHEP,12
939,FINCH AND MCCOWAN,12
52,LAWRENCE AND KEELE,12
985,SCARBOROUGH CENTRE STATION,12
98,SHEPPARD STATION,12
63,EGLINTON AND MARLEE,12
960,STEELES AND JANE,12
85,SHEPPARD AND VICTORIA,12
84,SHEPPARD YONGE STATION,11
115,YORK MILLS STATION,11
113,MAIN STREET STATION,11
97,HILDA AND STEELES,11
32,EGLINTON AND CALEDONIA,11
929,DUFFERIN AND ST CLAIR,11
63,OAKWOOD LOOP,11
43,SCARBOROUGH CENTRE STATION,11
72,FRONT AND BAY,11
53,STEELES AND MARKHAM,11
939,MORNINGSIDE AND NIGHTS,11
929,DUFFERIN AND SPRINGHUR,11
47,WILSON GARAGE,11
54,EGLINTON GARAGE,11
73,CLAIREPORT AND ALBION,11
109,NEPTUNE AND BATHURST,11
927,MARTIN GROVE AND STEEL,11
34,EGLINTON AND VICTORIA,11
35,JANE AND WESTON,11
89,KEELE AND ST CLAIR,11
300,KIPLING STATION,11
47,LANSDOWNE AND ST CLAIR,11
34,EGLINTON AND LESLIE,11
36,FINCH AND ARROW ROAD,11
33,ST CLAIR WEST STATION,11
68,WARDEN AND LAWRENCE,11
952,LAWRENCE WEST STATION,11
26,JANE STATION,11
96,WILSON AND KEELE,11
68,WARDEN AND MCNICOLL,11
39,FINCH AND DON MILLS,11
122,YORK MILLS STATION,11
84,SHEPPARD AND KEELE,11
123,LONG BRANCH LOOP,10
35,JANE AND SHEPPARD,10
953,MARKHAM AND PASSMORE,10
996,HUMBER COLLEGE,10
62,MAIN STREET STATION,10
307,BATHURST AND GREENWIN,10
63,OSSINGTON AND DUNDAS,10
953,MORNINGSIDE AND FINCH,10
985,SHEPPARD AND VICTORIA,10
52,LAWRENCE AND BATHURST,10
83,DONLANDS STATION,10
32,EGLINTON AND OAKWOOD,10
960,SIGNAL HILL AND STEELE,10
954,LAWRENCE AND STARSPRAY,10
63,OAKWOOD AND ST CLAIR,10
996,WILSON AND JANE,10
54,STARSPRAY LOOP,10
53,AMAZON FULFILLMENT CEN,10
79,JANE AND LAWRENCE,10
84,PIONEER VILLAGE STATION,10
43,KENNEDY AND FINCH,10
16,SCARBOROUGH CENTRE STATION,10
94,WELLESLEY STATION,10
986,MEADOWVALE LOOP,10
36,FINCH AND SIGNET,10
47,LANSDOWNE STATION,10
19,DAVENPORT AND DUPONT,10
61,BOMBAY LOOP,10
53,STEELES AND MIDDLEFIEL,10
989,SIGNET AND STEELES,10
24,VICTORIA PARK AND ST C,10
95,ELLESMERE AND MCCOWAN,10
45,KIPLING AND EGLINTON,9
996,WILSON STATION,9
32,KEELE AND EGLINTON,9
960,STEELES AND KEELE,9
960,STEELES AND BATHURST,9
34,GRENOBLE AND SPANBRIDG,9
984,SHEPPARD AND RIVALDA,9
47,LANSDOWNE AND BLOOR,9
39,FINCH AND MIDLAND,9
67,PHARMACY AND EGLINTON,9
935,JANE AND TRETHEWEY,9
96,HUMBER COLLEGE,9
86,EGLINTON AND MARKHAM,9
960,STEELES AND DUFFERIN,9
109,EGLINTON WEST STATION,9
14,CHAPLIN AND EGLINTON,9
66,HUMBER LOOP,9
63,OSSINGTON AND QUEEN,9
11,BAYVIEW AND STEELES,9
39,FINCH AND MARKHAM,9
95,ELLESMERE AND KENNEDY,9
52,LAWRENCE AND MARLEE,9
