,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Fleet
55863,3/30/22,63,06:53,Wednesday,EGLINTON WEST STATION,Operations - Operator,10,19,nan,0
55917,3/30/22,25,13:21,Wednesday,PAPE STATION,Operations - Operator,10,20,S,8705
55967,3/30/22,7,19:57,Wednesday,BATHURST STATION,Utilized Off Route,10,20,S,8165
55978,3/30/22,47,22:24,Wednesday,LANSDOWNE AND QUEEN,Utilized Off Route,20,40,N,8218
56001,3/30/22,87,23:45,Wednesday,MAIN STREET STATION,Utilized Off Route,11,22,N,8485
56187,4/1/22,36,06:24,Friday,HUMBERWOOD LOOP,Operations - Operator,4,9,nan,0
56188,4/1/22,36,06:24,Friday,HUMBERWOOD LOOP,Operations - Operator,4,9,nan,0
56190,4/1/22,939,06:27,Friday,MORNINGSIDE AND NIGHTS,Operations - Operator,7,15,W,0
56462,4/3/22,7,09:56,Sunday,BATHURST AND WILSON,Operations - Operator,9,19,S,8391
56538,4/4/22,989,06:04,Monday,SIGNET AND STEELES,Operations - Operator,15,29,nan,0
56811,4/6/22,47,05:55,Wednesday,YORKDALE STATION,Operations - Operator,9,19,nan,0
56987,4/7/22,125,08:09,Thursday,FINCH STATION,Operations - Operator,8,16,nan,0
57125,4/8/22,124,06:54,Friday,FINCH STATION,Operations - Operator,8,15,nan,0
57556,4/12/22,90,05:35,Tuesday,ST CLAIR WEST STATION,Operations - Operator,8,18,nan,0
57561,4/12/22,98,05:55,Tuesday,GOULDING AND CACTUS,Operations - Operator,20,40,nan,0
57566,4/12/22,89,06:19,Tuesday,ALBION AND WESTON,Operations - Operator,8,16,nan,0
57570,4/12/22,13,06:38,Tuesday,EGLINTON STATION,Operations - Operator,20,40,nan,0
57898,4/14/22,13,06:38,Thursday,EGLINTON STATION,Operations - Operator,20,40,nan,0
57902,4/14/22,989,06:48,Thursday,SIGNET AND STEELES,Operations - Operator,14,29,nan,0
57921,4/14/22,34,09:00,Thursday,KENNEDY STATION,Mechanical,7,14,E,8860
