,stop_name,Ward_name,zone_type
290,MIDLAND AVE AT STEELES AVE EAST SOUTH SIDE,Scarborough-Agincourt,not_defined
291,KINGSTON RD AT MCNAB BLVD EAST SIDE,Scarborough Southwest,Residential Apartment
292,KIPLING AVE AT JUTLAND RD,Etobicoke-Lakeshore,not_defined
293,OAKDALE RD AT SHEPPARD AVE WEST NORTH SIDE,Humber River-Black Creek,Residential Multiple
294,PARKSIDE DR AT HIGH PARK BLVD,Parkdale-High Park,Residential
295,GUILDWOOD PKWY AT NAVARRE CRES,Scarborough-Guildwood,Residential Detached
296,MIDLAND AVE AT BOARHILL DR,Scarborough North,Residential Semi-Detached
297,EGLINTON AVE EAST AT WYNFORD DR WEST SIDE,Don Valley East,Residential Apartment
298,CHAPLIN CRES AT AVENUE RD,Toronto-St. Paul's,Residential
299,ELLESMERE RD AT HELICON GATE WEST SIDE,Scarborough-Guildwood,Residential Detached
300,GLENCAIRN AVE AT DANESBURY AVE,Eglinton-Lawrence,Residential Detached
301,THE ESPLANADE AT PRINCESS ST,Toronto Centre,Commercial Residential
302,DAVISVILLE AVE AT PAILTON CRES,Toronto-St. Paul's,Residential
303,JANE ST AT DUNDAS ST WEST,Parkdale-High Park,not_defined
304,EGLINTON AVE EAST AT LEBOVIC AVE EAST SIDE,Scarborough Southwest,not_defined
305,1100 BELLAMY RD NORTH,Scarborough-Guildwood,Employment Industrial
306,WELLESLEY ST EAST AT ONTARIO ST,Toronto Centre,Residential
307,DAVISVILLE AVE AT BELLE AYRE BLVD,Don Valley West,Residential
308,DANFORTH AVE AT WOODBINE AVE,Beaches-East York,Commercial Residential
309,RAILSIDE RD AT CODECO CRT EAST SIDE,Don Valley East,not_defined
310,HENRIETTA ST AT RUNNYMEDE RD,York South-Weston,Residential Semi-Detached
311,WATERBURY DR AT MARTIN GROVE RD,Etobicoke North,Residential Detached
312,ST CLAIR AVE EAST AT DENVALE RD,Beaches-East York,Residential Detached
313,BIRCHMOUNT RD AT ASHTONBEE RD,Scarborough Centre,Open Space Natural
314,MCCOWAN RD AT SANDHURST CIR (NORTH),Scarborough North,Residential Multiple
315,CLONMORE DR AT CORNELL AVE,Scarborough Southwest,Residential Detached
316,QUEEN ST EAST AT JONES AVE,Toronto-Danforth,Commercial Residential
317,LESLIE ST AT COMMISSIONERS ST,Toronto-Danforth,Employment Light Industrial
318,16 THE DONWAY EAST - OPPOSITE DON MILLS COLLEGIATE,Don Valley East,Residential Multiple
319,VICTORIA PARK AVE AT SLOANE AVE,Don Valley East,Residential Multiple
320,1915 MARTIN GROVE RD,Etobicoke North,Residential Apartment
321,AVENUE RD AT DUPONT ST,University-Rosedale,Open Space Recreation
322,SHORNCLIFFE AVE AT NORTH QUEEN ST,Etobicoke-Lakeshore,Employment Industrial
323,HIGH PARK AVE AT GLENLAKE AVE,Parkdale-High Park,Residential
324,THE WESTWAY AT SUN ROW DR EAST SIDE,Etobicoke Centre,Residential Detached
325,O'CONNOR DR AT RALSTON AVE WEST SIDE,Beaches-East York,Residential Detached
326,ST CLAIR AVE WEST AT OAKWOOD AVE,Davenport,not_defined
327,FINCH AVE WEST AT WOODBINE DOWNS BLVD,Etobicoke North,not_defined
328,EGLINTON AVE WEST AT BLACKTHORN AVE,York South-Weston,Commercial Residential
329,YONGE ST AT SHUTER ST,Toronto Centre,not_defined
330,DUFFERIN ST AT DUFFERIN PARK AVE,Davenport,Commercial Residential
