,stop_name,SCHOOL_TYPE_DESC,dist
190,1020 MCNICOLL AVE,Private,0.0006547298032182727
191,MCNICOLL AVE AT SILVER SPRINGS BLVD,English Separate,0.0061834437292328055
192,MCNICOLL AVE AT SILVER SPRINGS BLVD,English Separate,0.006047683175697197
193,MCNICOLL AVE AT VICTORIA PARK AVE,Private,0.0009857481544877536
194,MEADOWVALE RD AT SHEPPARD AVE EAST,English Public,0.006339517376212494
195,MILITARY TRAIL AT MORNINGSIDE AVE,None,0.0030025835536941466
196,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,English Public,0.002176686841124473
197,MILLWOOD RD AT OVERLEA BLVD,English Public,0.0019077745248908052
198,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE,Private,0.0032084455740117486
199,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,English Public,0.002101221264951498
200,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,English Public,0.0044412766788812135
201,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,English Separate,0.0033290023184860107
202,MORNING STAR DR AT CATALPA RD,English Separate,0.02570000172459835
203,MORNING STAR DR AT CATALPA RD,English Separate,0.02539908818473041
204,MORNING STAR DR AT AIRPORT RD EAST SIDE,English Separate,0.03595318573987982
205,MORNING STAR DR AT LANCASTER AVE,English Separate,0.03251798254660317
206,MORNING STAR DR AT MANION RD,English Separate,0.03288859794975019
207,MORNING STAR DR AT REINDEER DR WEST SIDE,English Separate,0.03145668678193714
208,MORNING STAR DR AT REINDEER DR,English Separate,0.03080945340231693
209,MORTIMER AVE AT COXWELL AVE WEST SIDE (MICHAEL GARRON HOSPITAL),English Public,0.0005703441370858571
210,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Private,0.001852576503594101
211,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Private,0.0016631666362838117
212,OAKWOOD AVE AT EGLINTON AVE WEST SOUTH SIDE,English Separate,0.003191701314566341
213,OAKWOOD AVE AT ROGERS RD,English Public,0.003391659881502524
214,O'CONNOR DR AT PAPE AVE,English Public,0.0025759078049691895
215,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,English Public,0.0034248053934677297
216,OLD WESTON RD AT ST CLAIR AVE WEST,English Public,0.002961723831906981
217,OLD WESTON RD AT ST CLAIR AVE WEST,English Public,0.003346665145858511
218,OSSINGTON AVE AT BLOOR ST WEST,English Public,0.00516766901760527
219,OSSINGTON AVE AT BLOOR ST WEST,English Public,0.005560012429259284
220,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,English Public,0.0012950844732908333
221,OVERLEA BLVD AT MILLWOOD RD,English Public,0.0016553304469587454
222,OVERLEA BLVD AT THORNCLIFFE PARK DR (EAST),English Public,0.0017388847274863086
223,PAPE AVE AT LIPTON AVE NORTH SIDE,English Separate,0.003327760581801889
224,PAPE AVE AT O'CONNOR DR NORTH SIDE,English Public,0.0028095218485211515
225,PARLIAMENT ST AT CARLTON ST,English Public,0.0031749870413654885
226,PARLIAMENT ST AT GERRARD ST EAST,English Public,0.001242026761756951
227,PETER KAISER GATE AT STEELES AVE WEST,English Public,0.002850584154949649
228,PHARMACY AVE AT ELLESMERE RD,Private,0.0026274885925435584
229,PORT UNION RD AT ADENMORE RD NORTH SIDE,English Public,0.00404349627836081
230,FINCH AVE WEST AT DUFFERIN ST,Private,0.004725844116736082
231,FINCH AVE WEST AT JANE ST,None,0.0019570426093558943
232,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,English Separate,0.0009518029373919549
233,FINCH AVE WEST AT RUMIKE RD EAST SIDE,English Public,0.005082155380883053
234,FINCH AVE WEST AT SENLAC RD,English Separate,0.0008474839897046868
235,FINCH AVE WEST AT SENTINEL RD EAST SIDE,English Public,0.0029155128666825242
236,FINCH AVE WEST AT WILMINGTON AVE,English Public,0.0015313725969628817
237,FLEET ST AT BATHURST ST,English Public,0.003030472238387356
238,FRESHMEADOW DR AT DON MILLS RD,English Public,0.0029946259430102358
239,FRESHMEADOW DR AT DON MILLS RD,English Public,0.0031252582083354436
240,FRONT ST EAST AT BERKELEY ST,English Public,0.0018432991205085472
241,FRONT ST WEST AT BAY ST EAST SIDE (UNION STATION),Private,0.005123869935996332
242,GLEN RD AT SOUTH DR,Private,0.0053619668047684265
243,LAWSON RD AT KINGSTON RD (HIGHWAY 2A OVERPASS),English Public,0.010131594779547276
244,HIGHLAND CREEK OVERPASS AT KINGSTON RD,English Public,0.010000527046203156
245,HIGHLAND CREEK OVERPASS AT KINGSTON RD,English Public,0.0101982494794015
246,HIGHWAY 27 AT QUEENS PLATE DR (WOODBINE MALL),English Public,0.00958987897507969
247,HUMBER COLLEGE BLVD AT CARRIER DR,None,0.008695611351264109
248,HUMBER COLLEGE BLVD AT HUMBERLINE DR SOUTH SIDE,None,0.0033374076472492496
249,HUMBER COLLEGE BLVD AT HUMBERLINE DR,None,0.00403849794660778
250,HUMBERLINE DR AT HUMBER COLLEGE BLVD WEST SIDE,None,0.003987307189250944
251,HUMBERLINE DR AT HUMBER COLLEGE BLVD,None,0.003830156147539674
252,ISLINGTON AVE AT BLOOR ST WEST NORTH SIDE,Private,0.0005252895554213537
253,ISLINGTON AVE AT BLOOR ST WEST,Private,0.0014644360194967514
254,ISLINGTON AVE AT BLOOR ST WEST,Private,0.0010834745481148602
255,ISLINGTON AVE AT CENTRAL PARK ROADWAY SOUTH SIDE,Private,0.0026286616346275454
256,ISLINGTON AVE AT FINCH AVE WEST,English Public,0.00609636852371426
257,JANE ST AT ANNETTE ST,Private,0.002077645192012974
258,JANE ST AT TRETHEWEY DR,English Separate,0.005332979361289666
259,JANE ST AT FINCH AVE WEST SOUTH SIDE,English Separate,0.0026873597550334397
260,JANE ST AT HEATHROW DR,English Public,0.005463090722109412
261,JANE ST AT HULLMAR DR,English Public,0.005488800466223736
262,JANE ST AT HULLMAR DR,English Public,0.005667206769059561
263,JANE ST AT LAMBTON AVE,English Public,0.0015673582239826426
264,JANE ST AT PRITCHARD AVE,English Public,0.0019462510708384666
265,JANE ST AT WRIGHT AVE,English Separate,0.003635742181491936
266,JANE ST AT STEELES AVE WEST,English Public,0.0067262903730303785
267,JOHN GARLAND BLVD AT FINCH AVE WEST SOUTH SIDE,English Separate,0.002400594622481616
268,JOHN GARLAND BLVD AT FINCH AVE WEST,English Separate,0.002338478161049413
269,KEELE ST AT FINCH AVE WEST NORTH SIDE (FINCH WEST STATION),English Separate,0.002915486053089875
270,KEELE ST AT FINCH AVE WEST,English Separate,0.0024864631011068065
271,ST CLAIR AVE WEST AT KEELE ST/ WESTON RD,English Public,0.007538209163222362
272,CRESCENT RD AT SOUTH DR (WEST),English Public,0.0012740246173865196
273,GERRARD ST EAST AT BLACKBURN ST,English Public,0.005551183279233604
274,LANSDOWNE AVE AT SEAFORTH AVE,English Public,0.0008869271516963781
275,SCARLETT RD AT FOXWELL ST,English Public,0.0033347718775815997
276,EGLINTON AVE WEST AT MARTIN GROVE RD,English Public,0.0025356891066007424
277,RANEE AVE AT YORKDALE STATION,English Public,0.003399174585156781
278,DIXON RD AT 950 DIXON RD,English Separate,0.026423207974008794
279,MCCOWAN RD AT KENHATCH BLVD,English Separate,0.002483551586299662
280,BLOOR ST WEST AT MARKLAND DR (EAST) EAST SIDE,English Separate,0.0037577261978526976
281,ST CLAIR AVE WEST AT OLD WESTON RD,English Public,0.0033092319288192187
282,BELFIELD RD AT KIPLING AVE,Private,0.005179598941440199
283,LLOYD MANOR RD AT FIRWOOD CRES NORTH SIDE,English Public,0.003949840388677643
284,MCCOWAN RD LOOP AT STEELES AVE EAST,English Public,0.007297868103228929
285,MAYBROOK DR AT NEWMILL GATE,English Public,0.007234374274805937
286,QUEEN ST WEST AT SOHO ST,English Public,0.0019189502277123939
287,STEELES AVE EAST AT DON MILLS RD,English Public,0.005091810887323659
288,BATHURST ST AT ST CLAIR AVE WEST NORTH SIDE,Private,0.001433017305068312
289,THE BRIDLE PATH AT LAWRENCE AVE EAST SOUTH SIDE,English Public,0.004727432468030573
290,MIDLAND AVE AT STEELES AVE EAST SOUTH SIDE,Private,0.006487674559009443
291,KINGSTON RD AT MCNAB BLVD EAST SIDE,English Public,0.004067117611159565
292,KIPLING AVE AT JUTLAND RD,English Separate,0.011699916052208853
293,OAKDALE RD AT SHEPPARD AVE WEST NORTH SIDE,English Public,0.007961928201728441
294,PARKSIDE DR AT HIGH PARK BLVD,Private,0.004097193576502506
295,GUILDWOOD PKWY AT NAVARRE CRES,English Public,0.003329728058427629
296,MIDLAND AVE AT BOARHILL DR,English Separate,0.0016255564139268119
297,EGLINTON AVE EAST AT WYNFORD DR WEST SIDE,Private,0.006798629107276321
298,CHAPLIN CRES AT AVENUE RD,English Public,0.00543894488317113
299,ELLESMERE RD AT HELICON GATE WEST SIDE,English Separate,0.0025798790298519328
300,GLENCAIRN AVE AT DANESBURY AVE,English Separate,0.0027531993085481913
301,THE ESPLANADE AT PRINCESS ST,English Public,0.0005826682692977195
302,DAVISVILLE AVE AT PAILTON CRES,Private,0.004885039562334074
303,JANE ST AT DUNDAS ST WEST,English Public,0.0021852396113512607
304,EGLINTON AVE EAST AT LEBOVIC AVE EAST SIDE,None,0.003937677063558464
305,1100 BELLAMY RD NORTH,Private,0.002959055405683413
306,WELLESLEY ST EAST AT ONTARIO ST,English Public,0.001817575004230762
307,DAVISVILLE AVE AT BELLE AYRE BLVD,English Public,0.0013638186032395516
308,DANFORTH AVE AT WOODBINE AVE,English Public,0.003803923618189163
309,RAILSIDE RD AT CODECO CRT EAST SIDE,French Public,0.005727010790269753
310,HENRIETTA ST AT RUNNYMEDE RD,English Public,0.005502844673950191
311,WATERBURY DR AT MARTIN GROVE RD,English Public,0.005399723849501603
312,ST CLAIR AVE EAST AT DENVALE RD,English Public,0.001460619710357665
313,BIRCHMOUNT RD AT ASHTONBEE RD,English Public,0.006449912988165048
314,MCCOWAN RD AT SANDHURST CIR (NORTH),English Public,0.003531853930846303
315,CLONMORE DR AT CORNELL AVE,Private,0.0036010528157485373
316,QUEEN ST EAST AT JONES AVE,English Public,0.0019081474569401528
317,LESLIE ST AT COMMISSIONERS ST,English Public,0.008000418444723352
318,16 THE DONWAY EAST - OPPOSITE DON MILLS COLLEGIATE,English Public,0.0009545537135326199
319,VICTORIA PARK AVE AT SLOANE AVE,English Public,0.004697994184820113
320,1915 MARTIN GROVE RD,English Public,0.003386263818404375
321,AVENUE RD AT DUPONT ST,English Public,0.003779341508518279
322,SHORNCLIFFE AVE AT NORTH QUEEN ST,Private,0.011241550922274007
323,HIGH PARK AVE AT GLENLAKE AVE,English Public,0.004944800653443363
324,THE WESTWAY AT SUN ROW DR EAST SIDE,English Separate,0.004725986519205071
325,O'CONNOR DR AT RALSTON AVE WEST SIDE,English Public,0.0032373851649375785
326,ST CLAIR AVE WEST AT OAKWOOD AVE,English Public,0.0008364655527925272
327,FINCH AVE WEST AT WOODBINE DOWNS BLVD,None,0.0046546075910614835
328,EGLINTON AVE WEST AT BLACKTHORN AVE,English Public,0.006061564921046609
329,YONGE ST AT SHUTER ST,English Separate,0.0021041955651689166
330,DUFFERIN ST AT DUFFERIN PARK AVE,English Separate,0.0023279939301527296
331,MAPLE LEAF DR AT CULFORD RD,Private,0.0010765964199690853
332,KEELE ST AT BROADOAKS DR,English Public,0.004668058099272687
333,WILSON HEIGHTS BLVD AT CODSELL AVE,English Public,0.0036269843005639017
334,DAVISVILLE AVE AT MT PLEASANT RD,Private,0.00031069205745169303
335,SHEPPARD AVE EAST AT BROWNSPRING RD,Private,0.0055571411431249804
336,MT PLEASANT RD AT GLENGOWAN RD,English Public,0.005285572061346425
337,MAYBROOK DR AT MCNICOLL AVE NORTH SIDE,English Public,0.007919311710223805
338,GENTIAN DR AT WELLESWORTH DR,English Public,0.002071478069460132
339,KENNEDY RD AT JADE ST,Private,0.002029363750017506
340,FINCH AVE WEST AT GRANTBROOK ST WEST SIDE,English Separate,0.002381945129999301
341,BRIMLEY RD AT DENNETT DR,English Separate,0.003383105746282853
342,QUEEN ST EAST AT COXWELL AVE,English Public,0.005168847273725462
343,FINCHDENE SQ AT TORHAM PL,Private,0.0033537235577119134
344,ANNETTE ST AT KEELE ST,Private,0.0004928119720778449
345,UPHILL AVE AT CHURCH ST,English Public,0.002810384697826908
346,KENNEDY RD AT RANSTONE GARDENS,English Public,0.0052009374752212
347,KENNEDY RD AT PARK ST,English Public,0.007749047875317831
348,ISLINGTON AVE AT NORDIN AVE,English Separate,0.002111992039910556
349,NEILSON RD AT OPP WALKWAY TO BLACKWATER CRES & KESSACK CRT,English Public,0.0031117223137302396
350,SHORNCLIFFE RD AT DUNDAS ST WEST,Private,0.0037056836461302678
351,SLOANE AVE AT TROPHY DR,English Public,0.0032126700991137844
352,SHEPPARD AVE WEST AT JANE ST,English Separate,0.0025850404548305806
