,stop_name,FTH_FAITH,dist
282,BELFIELD RD AT KIPLING AVE,Christian,5233000.721221841
283,LLOYD MANOR RD AT FIRWOOD CRES NORTH SIDE,Christian,5233000.762030276
284,MCCOWAN RD LOOP AT STEELES AVE EAST,Christian,5233000.674134816
285,MAYBROOK DR AT NEWMILL GATE,Christian,5233000.684528333
286,QUEEN ST WEST AT SOHO ST,Christian,5233000.819423599
287,STEELES AVE EAST AT DON MILLS RD,Christian,5233000.671910901
288,BATHURST ST AT ST CLAIR AVE WEST NORTH SIDE,Christian,5233000.77995271
289,THE BRIDLE PATH AT LAWRENCE AVE EAST SOUTH SIDE,Christian,5233000.746366847
290,MIDLAND AVE AT STEELES AVE EAST SOUTH SIDE,Christian,5233000.675078372
291,KINGSTON RD AT MCNAB BLVD EAST SIDE,Christian,5233000.786477412
292,KIPLING AVE AT JUTLAND RD,Christian,5233000.805138431
293,OAKDALE RD AT SHEPPARD AVE WEST NORTH SIDE,Christian,5233000.699804674
294,PARKSIDE DR AT HIGH PARK BLVD,Christian,5233000.807388835
295,GUILDWOOD PKWY AT NAVARRE CRES,Christian,5233000.776514752
296,MIDLAND AVE AT BOARHILL DR,Christian,5233000.702991562
297,EGLINTON AVE EAST AT WYNFORD DR WEST SIDE,Christian,5233000.765016357
298,CHAPLIN CRES AT AVENUE RD,Christian,5233000.768593937
299,ELLESMERE RD AT HELICON GATE WEST SIDE,Christian,5233000.739920594
300,GLENCAIRN AVE AT DANESBURY AVE,Christian,5233000.748572742
301,THE ESPLANADE AT PRINCESS ST,Christian,5233000.826688646
302,DAVISVILLE AVE AT PAILTON CRES,Christian,5233000.771798139
303,JANE ST AT DUNDAS ST WEST,Christian,5233000.778267431
304,EGLINTON AVE EAST AT LEBOVIC AVE EAST SIDE,Christian,5233000.771707498
305,1100 BELLAMY RD NORTH,Christian,5233000.737014978
306,WELLESLEY ST EAST AT ONTARIO ST,Christian,5233000.807549383
307,DAVISVILLE AVE AT BELLE AYRE BLVD,Christian,5233000.772320635
308,DANFORTH AVE AT WOODBINE AVE,Christian,5233000.805675306
309,RAILSIDE RD AT CODECO CRT EAST SIDE,Christian,5233000.75367546
310,HENRIETTA ST AT RUNNYMEDE RD,Christian,5233000.7749633705
311,WATERBURY DR AT MARTIN GROVE RD,Christian,5233000.736098222
312,ST CLAIR AVE EAST AT DENVALE RD,Christian,5233000.78604281
313,BIRCHMOUNT RD AT ASHTONBEE RD,Christian,5233000.769338043
314,MCCOWAN RD AT SANDHURST CIR (NORTH),Christian,5233000.695948114
315,CLONMORE DR AT CORNELL AVE,Christian,5233000.81003767
316,QUEEN ST EAST AT JONES AVE,Christian,5233000.822605477
317,LESLIE ST AT COMMISSIONERS ST,Christian,5233000.830061714
318,16 THE DONWAY EAST - OPPOSITE DON MILLS COLLEGIATE,Christian,5233000.749802648
319,VICTORIA PARK AVE AT SLOANE AVE,Christian,5233000.755535957
320,1915 MARTIN GROVE RD,Christian,5233000.672465109
321,AVENUE RD AT DUPONT ST,Christian,5233000.79141967
322,SHORNCLIFFE AVE AT NORTH QUEEN ST,Christian,5233000.806259768
