,stop_name,closest_station,dist
8642,LAWRENCE WEST STATION - SOUTHBOUND PLATFORM,LAWRENCE WEST STATION - SOUTHBOUND PLATFORM,0.0
8643,GLENCAIRN STATION - SOUTHBOUND PLATFORM,GLENCAIRN STATION - SOUTHBOUND PLATFORM,0.0
8644,EGLINTON WEST STATION - SOUTHBOUND PLATFORM,EGLINTON WEST STATION - SOUTHBOUND PLATFORM,0.0
8645,ST CLAIR WEST STATION - SOUTHBOUND PLATFORM,ST CLAIR WEST STATION - SOUTHBOUND PLATFORM,0.0
8646,DUPONT STATION - SOUTHBOUND PLATFORM,DUPONT STATION - SOUTHBOUND PLATFORM,0.0
8647,SPADINA STATION - SOUTHBOUND PLATFORM,SPADINA STATION - SOUTHBOUND PLATFORM,0.0
8648,ST GEORGE STATION - SOUTHBOUND PLATFORM,ST GEORGE STATION - SOUTHBOUND PLATFORM,0.0
8649,MUSEUM STATION - SOUTHBOUND PLATFORM,MUSEUM STATION - SOUTHBOUND PLATFORM,0.0
8650,QUEEN'S PARK STATION - SOUTHBOUND PLATFORM,QUEEN'S PARK STATION - SOUTHBOUND PLATFORM,0.0
8651,ST PATRICK STATION - SOUTHBOUND PLATFORM,ST PATRICK STATION - SOUTHBOUND PLATFORM,0.0
8652,OSGOODE STATION - SOUTHBOUND PLATFORM,OSGOODE STATION - SOUTHBOUND PLATFORM,0.0
8653,ST ANDREW STATION - SOUTHBOUND PLATFORM,ST ANDREW STATION - SOUTHBOUND PLATFORM,0.0
8654,UNION STATION - NORTHBOUND PLATFORM TOWARDS FINCH,UNION STATION - NORTHBOUND PLATFORM TOWARDS FINCH,0.0
8655,KING STATION - NORTHBOUND PLATFORM,KING STATION - NORTHBOUND PLATFORM,0.0
8656,QUEEN STATION - NORTHBOUND PLATFORM,QUEEN STATION - NORTHBOUND PLATFORM,0.0
8657,DUNDAS STATION - NORTHBOUND PLATFORM,DUNDAS STATION - NORTHBOUND PLATFORM,0.0
8658,COLLEGE STATION - NORTHBOUND PLATFORM,COLLEGE STATION - NORTHBOUND PLATFORM,0.0
8659,WELLESLEY STATION - NORTHBOUND PLATFORM,WELLESLEY STATION - NORTHBOUND PLATFORM,0.0
8660,BLOOR STATION - NORTHBOUND PLATFORM,BLOOR STATION - NORTHBOUND PLATFORM,0.0
8661,ROSEDALE STATION - NORTHBOUND PLATFORM,ROSEDALE STATION - NORTHBOUND PLATFORM,0.0
8662,SUMMERHILL STATION - NORTHBOUND PLATFORM,SUMMERHILL STATION - NORTHBOUND PLATFORM,0.0
